0000000001,0000000000,-01707,001128,000604,000058,-00091,000040,000005
0000000002,0000000556,-01741,000873,000887,000067,-00086,000026,000005
0000000003,0000001111,-01741,000596,001155,000076,-00078,000010,000004
0000000004,0000001667,-01680,000314,001367,000084,-00068,-00007,000004
0000000005,0000002222,-01548,000017,001525,000090,-00058,-00023,000004
0000000006,0000002778,-01362,-00288,001644,000093,-00045,-00038,000003
0000000007,0000003333,-01140,-00583,001716,000093,-00033,-00051,000001
0000000008,0000003889,-00890,-00870,001739,000089,-00018,-00061,000000
0000000009,0000004444,-00619,-01136,001739,000081,-00003,-00070,-00001
0000000010,0000005000,-00332,-01355,001672,000072,000015,-00080,-00003
0000000011,0000005556,-00035,-01522,001536,000061,000031,-00087,-00003
0000000012,0000006111,000274,-01646,001345,000049,000047,-00091,-00005
0000000013,0000006667,000568,-01719,001121,000035,000060,-00091,-00005
0000000014,0000007222,000850,-01743,000867,000020,000069,-00087,-00007
0000000015,0000007778,001113,-01743,000596,000004,000077,-00081,-00008
0000000016,0000008333,001332,-01675,000313,-00014,000085,-00073,-00009
0000000017,0000008889,001500,-01542,000012,-00030,000092,-00064,-00010
0000000018,0000009444,001629,-01352,-00301,-00045,000093,-00053,-00010
0000000019,0000010000,001710,-01128,-00599,-00057,000093,-00041,-00011
0000000020,0000010556,001741,-00872,-00885,-00067,000088,-00027,-00011
0000000021,0000011111,001741,-00597,-01149,-00075,000080,-00010,-00011
0000000022,0000011667,001678,-00313,-01363,-00083,000070,000008,-00010
0000000023,0000012222,001549,-00017,-01522,-00090,000059,000024,-00010
0000000024,0000012778,001364,000289,-01641,-00093,000047,000039,-00008
0000000025,0000013333,001142,000585,-01712,-00093,000034,000051,-00008
0000000026,0000013889,000891,000869,-01737,-00088,000021,000061,-00006
0000000027,0000014444,000618,001135,-01737,-00082,000005,000070,-00004
0000000028,0000015000,000335,001357,-01668,-00072,-00013,000080,-00003
0000000029,0000015556,000036,001521,-01531,-00062,-00029,000088,-00003
0000000030,0000016111,-00273,001645,-01342,-00049,-00045,000091,-00002
0000000031,0000016667,-00567,001717,-01117,-00035,-00057,000091,000000
0000000032,0000017222,-00848,001742,-00864,-00020,-00067,000087,000002
0000000033,0000017778,-01113,001742,-00595,-00004,-00074,000081,000003
0000000034,0000018333,-01328,001675,-00307,000013,-00082,000072,000003
0000000035,0000018889,-01500,001540,-00008,000030,-00089,000063,000005
0000000036,0000019444,-01628,001352,000302,000046,-00091,000052,000005
0000000037,0000020000,-01707,001128,000601,000058,-00091,000040,000005
0000000038,0000020556,-01741,000874,000887,000068,-00086,000026,000005
0000000039,0000021111,-01741,000599,001154,000076,-00078,000011,000005
0000000040,0000021667,-01678,000313,001367,000084,-00068,-00007,000005
0000000041,0000022222,-01549,000018,001526,000090,-00057,-00023,000003
0000000042,0000022778,-01365,-00289,001644,000093,-00045,-00039,000002
0000000043,0000023333,-01143,-00583,001716,000093,-00032,-00051,000001
0000000044,0000023889,-00892,-00867,001740,000089,-00019,-00061,000000
0000000045,0000024444,-00620,-01136,001740,000082,-00003,-00070,-00001
0000000046,0000025000,-00335,-01356,001673,000072,000015,-00079,-00002
0000000047,0000025556,-00036,-01523,001535,000061,000031,-00087,-00004
0000000048,0000026111,000275,-01645,001346,000049,000048,-00091,-00005
0000000049,0000026667,000567,-01715,001122,000035,000060,-00091,-00005
0000000050,0000027222,000847,-01744,000869,000021,000069,-00087,-00007
0000000051,0000027778,001112,-01744,000598,000004,000077,-00081,-00008
0000000052,0000028333,001332,-01677,000314,-00014,000085,-00073,-00008
0000000053,0000028889,001500,-01541,000014,-00029,000092,-00064,-00010
0000000054,0000029444,001629,-01353,-00298,-00045,000093,-00053,-00011
0000000055,0000030000,001708,-01126,-00597,-00058,000093,-00041,-00011
0000000056,0000030556,001743,-00873,-00884,-00068,000088,-00026,-00011
0000000057,0000031111,001743,-00597,-01150,-00075,000080,-00011,-00011
